,Jugador,img_player
215,F. Moumbagna,https://img.a.transfermarkt.technology/portrait/big/599663-1699864871.jpg?lm=1
216,Jean Bahoya,
217,G. Kondogbia,https://img.a.transfermarkt.technology/portrait/big/127189-1703066053.jpg?lm=1
218,Václav Černý,https://img.a.transfermarkt.technology/portrait/big/242063-1695624230.jpg?lm=1
219,G. Caprari,https://img.a.transfermarkt.technology/portrait/big/146752-1663659110.jpg?lm=1
220,Lorenzo Lucca,https://img.a.transfermarkt.technology/portrait/big/572265-1660912843.jpg?lm=1
221,Dara O'shea,https://img.a.transfermarkt.technology/portrait/big/401320-1632909442.jpg?lm=1
222,Artem Dovbyk,https://img.a.transfermarkt.technology/portrait/big/343537-1719215184.jpg?lm=1
223,K. Nedeljkovic,https://img.a.transfermarkt.technology/portrait/big/848682-1694785153.jpg?lm=1
224,N. Nkounkou,https://img.a.transfermarkt.technology/portrait/big/591193-1696509000.jpg?lm=1
225,Ez Abde,https://img.a.transfermarkt.technology/portrait/big/724520-1636969902.jpg?lm=1
226,Ibrahima Koné,https://img.a.transfermarkt.technology/portrait/big/490223-1699983312.jpg?lm=1
227,Diogo Leite,https://img.a.transfermarkt.technology/portrait/big/357156-1691999912.jpg?lm=1
228,Cristian Volpato,https://img.a.transfermarkt.technology/portrait/big/746891-1692883039.jpg?lm=1
229,F. Mendy,https://img.a.transfermarkt.technology/portrait/big/157495-1598301159.jpg?lm=1
230,Cyle Larin,https://img.a.transfermarkt.technology/portrait/big/343463-1720430112.jpg?lm=1
231,A. Milik,https://img.a.transfermarkt.technology/portrait/big/191891-1661518258.jpg?lm=1
232,A. Fulgini,https://img.a.transfermarkt.technology/portrait/big/250013-1657707374.jpg?lm=1
233,A. Fulgini,https://img.a.transfermarkt.technology/portrait/big/250013-1657707374.jpg?lm=1
234,Julian Weigl,https://img.a.transfermarkt.technology/portrait/big/196792-1662965628.jpg?lm=1
235,R. Bellanova,https://img.a.transfermarkt.technology/portrait/big/357992-1695028689.jpg?lm=1
236,R. Malinovskyi,https://img.a.transfermarkt.technology/portrait/big/207877-1663583019.jpg?lm=1
237,T. Buchanan,https://img.a.transfermarkt.technology/portrait/big/591949-1684772165.jpg?lm=1
238,Elia Caprile,https://img.a.transfermarkt.technology/portrait/big/421873-1704902651.jpg?lm=1
239,Lucas Boyé,https://img.a.transfermarkt.technology/portrait/big/334222-1664974977.jpg?lm=1
240,Yann Bisseck,https://img.a.transfermarkt.technology/portrait/big/441986-1687762536.jpg?lm=1
241,Yann Sommer,https://img.a.transfermarkt.technology/portrait/big/42205-1669897427.jpg?lm=1
242,Dion Lopy,https://img.a.transfermarkt.technology/portrait/big/649033-1639674790.png?lm=1
243,Tiago Santos,https://img.a.transfermarkt.technology/portrait/big/816580-1708342212.jpg?lm=1
244,Dina Ebimbe,https://img.a.transfermarkt.technology/portrait/big/536482-1663065378.jpg?lm=1
245,Raúl García,https://img.a.transfermarkt.technology/portrait/big/34601-1709676479.png?lm=1
246,Raúl Jiménez,https://img.a.transfermarkt.technology/portrait/big/206040-1668454631.jpg?lm=1
247,Pablo Marí,https://img.a.transfermarkt.technology/portrait/big/210178-1663659195.jpg?lm=1
248,Daniel Boloca,https://img.a.transfermarkt.technology/portrait/big/441515-1692881633.jpg?lm=1
249,Johnny Cardoso,https://img.a.transfermarkt.technology/portrait/big/689505-1708953705.jpg?lm=1
250,Josh Doig,https://img.a.transfermarkt.technology/portrait/big/567129-1701544110.jpg?lm=1
251,Sergio Akieme,https://img.a.transfermarkt.technology/portrait/big/355627-1541150356.jpg?lm=1
252,S. Omorodion,https://img.a.transfermarkt.technology/portrait/big/991268-1695983086.jpg?lm=1
253,N. Bajrami,https://img.a.transfermarkt.technology/portrait/big/390177-1661510744.jpg?lm=1
254,S. Mulattieri,https://img.a.transfermarkt.technology/portrait/big/457422-1686814443.jpg?lm=1
255,Jhon Solis,https://img.a.transfermarkt.technology/portrait/big/742521-1715882394.jpg?lm=1
256,Junior Adamu,https://img.a.transfermarkt.technology/portrait/big/452477-1691998414.jpg?lm=1
257,Sergio Arribas,https://img.a.transfermarkt.technology/portrait/big/537762-1688305963.jpg?lm=1
258,Ryan Giles,https://img.a.transfermarkt.technology/portrait/big/504581-1639140648.jpg?lm=1
259,Auston Trusty,https://img.a.transfermarkt.technology/portrait/big/389253-1647191322.jpg?lm=1
